Data;Abertura;Maxima;Minima;Fechamento;Volume
16/02/2026;158,61;159,72;157,66;159,21;72266
17/02/2026;159,08;161,10;158,35;160,58;37334
18/02/2026;160,76;161,47;159,85;160,63;85382
19/02/2026;161,59;162,58;159,14;159,90;55816
20/02/2026;160,24;160,26;157,70;158,85;83403
23/02/2026;158,49;159,27;157,75;158,87;77544
24/02/2026;158,25;158,40;157,68;157,89;57644
25/02/2026;157,57;157,67;156,16;156,51;82949
26/02/2026;157,47;158,09;156,36;156,69;55824
27/02/2026;156,47;157,07;155,78;156,81;69552
02/03/2026;156,83;157,87;156,79;157,32;51925
03/03/2026;157,08;159,28;155,84;156,44;84532
04/03/2026;156,30;156,54;156,24;156,44;48464
05/03/2026;156,59;157,58;156,08;156,36;80669
06/03/2026;156,96;157,43;154,99;155,10;69663
09/03/2026;154,76;156,43;154,59;155,60;38786
10/03/2026;155,78;156,44;154,64;155,90;54556
11/03/2026;156,00;159,06;155,74;158,16;83317
12/03/2026;157,68;158,38;157,36;158,34;72399
13/03/2026;158,03;158,30;157,83;158,19;75702
16/03/2026;158,23;159,49;158,15;159,35;44386
17/03/2026;158,99;159,68;158,05;159,53;51838
18/03/2026;159,32;160,66;159,09;160,38;62514
19/03/2026;160,32;161,22;160,00;160,03;43851
20/03/2026;160,38;160,51;160,02;160,22;85553
23/03/2026;159,73;161,41;159,56;161,19;40513
24/03/2026;160,85;163,18;160,50;161,84;37848
25/03/2026;161,63;162,15;160,74;161,95;74688
26/03/2026;161,67;161,70;159,59;160,91;76074
27/03/2026;160,35;161,67;160,20;161,33;39225
30/03/2026;161,90;162,27;161,27;161,39;69212
31/03/2026;161,01;162,92;160,01;162,06;74244
01/04/2026;162,51;163,33;161,67;162,26;64625
02/04/2026;163,32;163,69;162,92;163,28;43617
03/04/2026;162,99;163,81;162,49;163,22;43658
06/04/2026;163,53;163,99;162,19;163,41;39979
07/04/2026;164,09;164,49;163,38;164,03;73851
08/04/2026;163,44;163,64;162,82;162,99;60898
09/04/2026;163,04;163,05;161,70;162,59;50151
10/04/2026;162,14;163,53;161,84;162,11;77276
13/04/2026;162,13;165,18;161,74;163,98;54435
14/04/2026;163,80;164,62;163,36;163,88;49700
15/04/2026;164,07;165,00;163,41;164,49;41017
16/04/2026;164,06;165,69;163,40;165,07;53982
17/04/2026;165,14;165,66;164,75;164,79;77459
20/04/2026;163,97;164,47;162,36;163,31;85427
21/04/2026;164,03;165,28;162,91;164,22;42589
22/04/2026;163,67;163,91;163,42;163,82;57130
23/04/2026;165,03;165,15;164,31;164,49;77911
24/04/2026;164,23;164,40;162,09;163,24;85966
27/04/2026;162,92;163,84;162,15;162,82;62081
28/04/2026;162,98;164,78;162,48;164,00;49095
29/04/2026;163,98;165,82;163,35;165,35;82950
30/04/2026;165,30;165,87;163,95;164,10;51082
01/05/2026;163,39;163,80;162,60;162,83;48440
04/05/2026;162,93;164,76;162,58;162,77;78822
05/05/2026;163,64;164,92;161,58;163,46;55409
06/05/2026;164,08;164,70;163,24;163,60;50808
07/05/2026;163,43;165,16;163,24;163,88;46931
08/05/2026;164,43;164,66;162,41;162,93;41266
11/05/2026;162,18;163,72;161,21;163,48;48455
12/05/2026;163,34;164,56;162,87;164,53;42942
13/05/2026;164,42;165,45;163,79;164,10;83242
14/05/2026;164,64;165,21;162,35;162,73;54350
15/05/2026;163,03;163,66;161,30;162,00;44871
18/05/2026;162,03;163,65;161,53;162,71;70133
19/05/2026;162,23;162,78;160,43;161,06;78632
20/05/2026;160,89;161,77;159,78;160,96;70103
21/05/2026;161,25;161,96;159,62;160,01;51307
22/05/2026;159,89;159,91;159,47;159,87;52109
25/05/2026;160,67;161,09;158,92;159,63;39599
26/05/2026;160,39;160,77;159,15;159,64;79881
27/05/2026;159,78;161,59;159,13;161,05;57946
28/05/2026;161,75;161,88;161,28;161,53;56620
29/05/2026;161,86;163,24;161,72;162,87;60696
01/06/2026;162,67;163,54;161,82;162,81;65083
02/06/2026;162,75;163,16;162,40;162,43;43974
03/06/2026;162,73;163,34;162,15;162,86;84920
04/06/2026;161,60;161,61;160,03;160,24;47155
05/06/2026;160,17;160,63;159,79;160,28;83244
08/06/2026;159,89;160,59;159,16;160,51;70646
09/06/2026;160,93;162,01;158,97;159,41;49734
10/06/2026;159,42;159,94;158,70;159,93;38453
11/06/2026;159,77;159,86;158,98;159,47;57653
12/06/2026;159,62;159,93;156,74;157,21;74024
15/06/2026;156,85;157,09;156,08;157,08;74155
16/06/2026;156,71;157,53;156,18;156,23;63355
17/06/2026;155,59;155,97;154,77;155,81;66284
18/06/2026;156,19;156,39;154,78;155,74;54613
19/06/2026;155,98;157,32;154,86;157,00;58542
22/06/2026;157,02;157,39;156,30;157,17;80843
23/06/2026;157,72;158,35;156,97;157,22;57566
24/06/2026;157,29;159,02;156,75;157,67;53620
25/06/2026;157,95;158,38;155,94;156,02;66997
26/06/2026;156,35;157,43;155,91;157,27;60009
29/06/2026;157,70;157,91;155,57;156,32;71095
30/06/2026;155,95;157,82;155,01;156,82;45819
01/07/2026;157,29;157,49;155,64;155,82;46309
02/07/2026;155,51;156,07;154,11;155,10;67554
03/07/2026;154,68;155,11;154,58;155,10;57990
06/07/2026;154,98;157,18;154,51;156,98;57072
07/07/2026;156,73;157,90;155,70;157,71;64854
08/07/2026;157,33;158,09;156,54;157,21;73016
09/07/2026;156,69;157,76;156,36;157,02;41293
10/07/2026;157,35;157,92;155,63;156,00;78597
13/07/2026;155,95;156,23;154,94;156,04;58545
14/07/2026;155,73;156,30;154,99;155,57;73093
15/07/2026;155,25;156,66;155,21;156,33;61757
16/07/2026;156,86;157,87;155,01;155,12;58706
17/07/2026;155,33;156,12;154,46;155,10;76068
20/07/2026;154,96;155,96;154,62;155,10;43262
21/07/2026;154,82;155,57;154,31;155,10;64076
22/07/2026;155,62;156,23;154,68;155,85;82369
23/07/2026;155,94;156,73;155,54;156,05;59630
24/07/2026;156,39;156,70;156,22;156,68;79348
27/07/2026;157,55;158,63;157,54;157,88;68837
28/07/2026;157,80;159,82;157,78;159,05;65021
29/07/2026;158,99;159,51;157,66;157,82;69321
30/07/2026;158,17;158,96;157,25;158,41;57976
31/07/2026;157,91;158,50;155,94;156,81;81256
03/08/2026;157,06;157,44;156,56;156,82;72246
04/08/2026;156,23;159,43;155,37;158,72;74657
05/08/2026;158,30;159,42;157,61;158,61;57100
06/08/2026;158,86;158,90;157,88;158,33;76238
07/08/2026;158,70;159,28;157,67;158,57;45855
10/08/2026;157,71;158,79;157,27;158,66;54209
11/08/2026;159,30;160,85;158,42;158,76;56236
12/08/2026;158,42;158,95;158,09;158,12;83845
13/08/2026;157,63;159,35;157,56;159,22;51323
14/08/2026;158,74;160,68;158,73;160,14;66966
