Data;Abertura;Maxima;Minima;Fechamento;Volume
16/02/2026;30,66;30,67;30,59;30,65;30015047
17/02/2026;30,72;30,81;30,65;30,80;32609422
18/02/2026;30,98;30,99;30,35;30,72;39913780
19/02/2026;30,67;30,98;30,53;30,84;33046413
20/02/2026;30,75;31,18;30,68;31,12;22958362
23/02/2026;31,10;31,26;31,04;31,26;39428801
24/02/2026;31,33;31,76;31,29;31,70;33578351
25/02/2026;31,83;31,88;31,40;31,51;35320983
26/02/2026;31,62;31,72;31,48;31,56;36409216
27/02/2026;31,50;31,57;31,40;31,41;37259467
02/03/2026;31,39;31,43;31,03;31,24;27682443
03/03/2026;31,14;31,40;31,03;31,23;35509741
04/03/2026;31,27;31,42;31,26;31,32;38698936
05/03/2026;31,43;31,48;31,28;31,47;37993491
06/03/2026;31,43;31,70;31,30;31,63;22049757
09/03/2026;31,60;32,26;31,60;32,25;34588610
10/03/2026;32,25;32,67;32,22;32,51;22468048
11/03/2026;32,61;32,67;32,03;32,13;31445326
12/03/2026;32,17;32,30;32,02;32,22;26080081
13/03/2026;32,21;32,35;31,98;32,09;33023876
16/03/2026;32,14;32,15;31,93;31,99;27567470
17/03/2026;31,83;32,46;31,78;32,37;31512605
18/03/2026;32,43;32,49;32,26;32,34;22375171
19/03/2026;32,30;32,60;31,79;31,87;34110766
20/03/2026;31,92;32,15;31,86;31,99;36558069
23/03/2026;31,85;32,02;31,72;31,95;27919832
24/03/2026;32,02;32,10;31,55;31,67;24782114
25/03/2026;31,68;31,86;31,35;31,47;38320065
26/03/2026;31,56;31,59;31,33;31,34;24844934
27/03/2026;31,36;31,44;31,36;31,37;25329850
30/03/2026;31,46;31,56;31,26;31,30;36315907
31/03/2026;31,43;31,70;31,15;31,35;25489480
01/04/2026;31,30;31,96;31,18;31,86;29797042
02/04/2026;31,75;31,78;31,50;31,69;39573604
03/04/2026;31,68;31,73;31,41;31,51;32464455
06/04/2026;31,54;31,64;31,46;31,48;22630090
07/04/2026;31,53;31,89;31,29;31,80;33738069
08/04/2026;31,71;31,84;31,60;31,66;24935757
09/04/2026;31,73;32,08;31,67;32,06;29733462
10/04/2026;32,09;32,33;31,68;31,76;36028140
13/04/2026;31,75;31,83;31,39;31,52;28108340
14/04/2026;31,63;31,78;31,47;31,55;33327608
15/04/2026;31,58;31,77;31,35;31,36;40120681
16/04/2026;31,24;31,29;30,95;31,23;36183832
17/04/2026;31,27;31,38;30,86;31,38;32382362
20/04/2026;31,33;31,76;31,14;31,61;24511007
21/04/2026;31,58;31,69;31,55;31,67;32201532
22/04/2026;31,62;31,67;31,38;31,63;28739319
23/04/2026;31,69;32,26;31,62;32,02;28298856
24/04/2026;32,03;32,18;31,79;32,16;31299063
27/04/2026;32,20;32,27;31,91;32,13;31446895
28/04/2026;32,19;32,57;32,16;32,48;24709434
29/04/2026;32,54;32,62;32,07;32,28;29908085
30/04/2026;32,15;32,55;31,91;32,36;39677306
01/05/2026;32,35;32,80;32,26;32,57;39769477
04/05/2026;32,51;32,71;32,48;32,60;39447139
05/05/2026;32,57;32,57;32,32;32,49;36713545
06/05/2026;32,58;32,62;32,30;32,61;22862833
07/05/2026;32,49;32,59;32,38;32,51;22891388
08/05/2026;32,62;32,69;32,16;32,39;36849524
11/05/2026;32,38;32,42;31,88;32,13;38961660
12/05/2026;32,09;32,51;31,97;32,48;25385724
13/05/2026;32,42;32,58;32,25;32,34;28753776
14/05/2026;32,33;32,70;32,26;32,65;35440519
15/05/2026;32,65;32,76;32,58;32,76;32551914
18/05/2026;32,84;32,86;32,56;32,70;27860261
19/05/2026;32,83;33,20;32,78;32,88;22247829
20/05/2026;32,83;33,00;32,79;32,96;40182717
21/05/2026;33,05;33,33;32,97;33,00;26066110
22/05/2026;32,98;33,11;32,49;32,65;31386848
25/05/2026;32,58;32,80;32,52;32,68;32989023
26/05/2026;32,61;33,09;32,59;32,92;21838267
27/05/2026;32,96;33,24;32,86;33,05;36380714
28/05/2026;33,10;33,38;33,04;33,32;31094138
29/05/2026;33,46;33,92;33,34;33,71;38145604
01/06/2026;33,62;33,87;33,61;33,83;22252743
02/06/2026;33,86;34,54;33,83;34,35;30982886
03/06/2026;34,23;34,32;33,81;33,96;31928076
04/06/2026;33,91;34,02;33,88;33,91;30379207
05/06/2026;33,83;34,07;33,22;33,26;26950539
08/06/2026;33,20;33,56;33,16;33,48;30214956
09/06/2026;33,39;33,60;33,28;33,51;32352456
10/06/2026;33,54;34,26;33,40;33,96;34729121
11/06/2026;33,96;34,04;33,63;33,87;27131890
12/06/2026;34,02;34,22;33,32;33,36;36179095
15/06/2026;33,25;33,81;33,12;33,70;31053458
16/06/2026;33,71;33,74;33,29;33,35;24709992
17/06/2026;33,46;33,50;33,00;33,03;34420145
18/06/2026;32,99;33,17;32,94;33,00;29427629
19/06/2026;33,01;33,22;32,95;33,17;30297313
22/06/2026;33,16;33,29;33,02;33,04;29749416
23/06/2026;32,97;33,15;32,87;33,10;35329562
24/06/2026;33,23;33,32;32,60;32,62;35815642
25/06/2026;32,61;33,08;32,48;33,08;35288460
26/06/2026;33,09;33,18;33,00;33,07;36136630
29/06/2026;33,05;33,33;32,75;33,11;33435429
30/06/2026;33,02;33,41;32,95;33,27;24344929
01/07/2026;33,20;33,43;32,97;33,32;24366690
02/07/2026;33,28;33,40;33,08;33,38;27736557
03/07/2026;33,47;33,51;33,00;33,14;24595762
06/07/2026;33,17;33,38;33,01;33,12;24167062
07/07/2026;33,11;33,29;33,04;33,24;21917017
08/07/2026;33,24;33,57;33,21;33,52;29873431
09/07/2026;33,41;33,73;33,16;33,50;36368396
10/07/2026;33,52;33,55;33,29;33,53;35005611
13/07/2026;33,50;33,72;33,43;33,63;34432892
14/07/2026;33,48;33,97;33,32;33,78;27505112
15/07/2026;33,74;34,14;33,61;33,85;28589108
16/07/2026;33,81;33,91;33,75;33,79;33835028
17/07/2026;33,61;33,81;33,36;33,66;32177649
20/07/2026;33,54;34,09;33,53;33,96;23263508
21/07/2026;33,93;34,18;33,84;34,05;39934164
22/07/2026;34,15;34,26;33,92;34,06;25465123
23/07/2026;34,02;35,01;34,00;34,97;28598139
24/07/2026;34,88;35,30;34,87;35,21;34763541
27/07/2026;35,09;35,55;34,96;35,44;40065374
28/07/2026;35,52;35,73;35,35;35,49;34130342
29/07/2026;35,58;35,59;35,15;35,23;35263932
30/07/2026;35,16;35,72;35,08;35,54;21713729
31/07/2026;35,55;35,73;35,14;35,27;35076087
03/08/2026;35,20;35,20;34,96;35,05;28190142
04/08/2026;35,06;35,11;35,04;35,08;38407736
05/08/2026;35,02;35,25;34,98;35,10;23286298
06/08/2026;35,33;35,35;34,86;34,92;22815624
07/08/2026;34,85;35,00;34,65;34,69;23498736
10/08/2026;34,80;35,04;34,78;34,99;32877886
11/08/2026;34,97;35,03;34,82;34,90;38221669
12/08/2026;34,97;35,12;34,38;34,39;37723948
13/08/2026;34,51;34,69;34,15;34,35;33231189
14/08/2026;34,44;34,45;34,13;34,15;37690119
