Data;Abertura;Maxima;Minima;Fechamento;Volume
16/02/2026;62,45;62,88;62,08;62,68;26980549
17/02/2026;62,63;63,65;62,34;63,45;16839006
18/02/2026;63,52;63,80;63,14;63,45;30788529
19/02/2026;63,83;64,22;62,70;63,00;22204884
20/02/2026;63,13;63,14;61,92;62,37;30213849
23/02/2026;62,23;62,52;61,94;62,36;28512840
24/02/2026;62,12;62,18;61,69;61,77;22735550
25/02/2026;61,64;61,68;60,81;60,95;30082213
26/02/2026;61,33;61,57;60,90;61,03;22207233
27/02/2026;60,95;61,17;60,68;61,07;26192681
02/03/2026;61,08;61,56;61,06;61,34;21075246
03/03/2026;61,25;62,11;60,58;60,81;30541805
04/03/2026;60,75;60,82;60,73;60,78;20070482
05/03/2026;60,84;61,22;60,60;60,71;29420048
06/03/2026;60,94;61,12;59,82;59,86;26224787
09/03/2026;59,73;60,44;59,66;60,12;17260472
10/03/2026;60,19;60,48;59,75;60,27;21839126
11/03/2026;60,31;61,90;60,21;61,55;30189042
12/03/2026;61,36;61,64;61,24;61,63;27019287
13/03/2026;61,51;61,56;61,43;61,52;27978098
16/03/2026;61,53;62,22;61,50;62,17;18886419
17/03/2026;62,03;62,31;61,66;62,25;21049747
18/03/2026;62,17;62,83;62,08;62,72;24149362
19/03/2026;62,70;63,05;62,48;62,49;18731210
20/03/2026;62,63;62,68;62,50;62,58;30837983
23/03/2026;62,39;63,20;62,32;63,11;17761855
24/03/2026;62,98;64,00;62,84;63,47;16988323
25/03/2026;63,39;63,59;63,04;63,51;27683902
26/03/2026;63,40;63,41;62,36;62,88;28086202
27/03/2026;62,66;63,23;62,60;63,10;17388136
30/03/2026;63,32;63,47;63,06;63,11;26093963
31/03/2026;62,96;63,82;62,57;63,48;27554763
01/04/2026;63,66;63,98;63,33;63,56;24762161
02/04/2026;63,98;64,27;63,84;64,13;18663213
03/04/2026;64,02;64,30;63,82;64,07;18675037
06/04/2026;64,19;64,37;63,68;64,16;17606964
07/04/2026;64,43;64,65;64,18;64,49;27440678
08/04/2026;64,26;64,34;63,79;63,86;23680232
09/04/2026;63,88;63,88;63,26;63,61;20560189
10/04/2026;63,43;63,97;63,20;63,31;28435232
13/04/2026;63,32;64,84;63,17;64,37;21803815
14/04/2026;64,30;64,59;64,12;64,29;20429211
15/04/2026;64,37;64,82;64,11;64,62;17908252
16/04/2026;64,45;65,18;64,19;64,93;21672267
17/04/2026;64,96;65,16;64,73;64,74;28488226
20/04/2026;64,42;64,62;63,49;63,86;30801641
21/04/2026;64,14;64,78;63,70;64,36;18364810
22/04/2026;64,14;64,18;64,01;64,11;22586419
23/04/2026;64,58;64,63;64,40;64,47;28619568
24/04/2026;64,37;64,44;63,27;63,72;30957947
27/04/2026;63,60;63,96;63,19;63,45;24023590
28/04/2026;63,51;64,42;63,32;64,11;20253435
29/04/2026;64,10;65,06;63,86;64,87;30082460
30/04/2026;64,85;65,07;64,06;64,12;20830335
01/05/2026;63,84;64,00;63,27;63,36;20063289
04/05/2026;63,40;64,11;63,24;63,31;28883818
05/05/2026;63,65;64,18;62,92;63,68;22086606
06/05/2026;63,92;64,16;63,59;63,73;20750962
07/05/2026;63,66;64,37;63,59;63,87;19625401
08/05/2026;64,09;64,18;63,10;63,30;17980478
11/05/2026;63,01;63,68;62,63;63,59;20067705
12/05/2026;63,53;64,18;63,35;64,17;18467173
13/05/2026;64,13;64,53;63,79;63,91;30167230
14/05/2026;64,12;64,34;62,94;63,09;21779170
15/05/2026;63,21;63,45;62,37;62,64;19027126
18/05/2026;62,65;63,39;62,46;63,03;26361259
19/05/2026;62,84;63,05;61,80;62,04;28828680
20/05/2026;61,98;62,29;61,53;61,96;26352702
21/05/2026;62,07;62,34;61,24;61,39;20895587
22/05/2026;61,34;61,35;61,14;61,29;21128558
25/05/2026;61,60;61,76;60,85;61,12;17496708
26/05/2026;61,41;61,55;60,91;61,10;29191291
27/05/2026;61,15;62,11;60,90;61,90;22823263
28/05/2026;62,17;62,22;62,00;62,10;22438310
29/05/2026;62,23;62,94;62,18;62,80;23621477
01/06/2026;62,72;63,00;62,36;62,69;24895284
02/06/2026;62,67;62,83;62,39;62,40;18766703
03/06/2026;62,52;62,76;62,30;62,58;30654419
04/06/2026;62,10;62,10;60,91;60,99;19690445
05/06/2026;60,96;61,14;60,82;61,01;30167827
08/06/2026;60,86;61,18;60,58;61,15;26510389
09/06/2026;61,31;61,72;60,34;60,51;20438986
10/06/2026;60,51;60,81;60,24;60,81;17164005
11/06/2026;60,75;60,78;60,37;60,55;22738145
12/06/2026;60,61;60,73;59,06;59,24;27490941
15/06/2026;59,10;59,17;58,81;59,17;27529103
16/06/2026;59,03;59,34;58,66;58,68;24393639
17/06/2026;58,44;58,50;58,12;58,43;25243872
18/06/2026;58,57;58,65;58,04;58,40;21855445
19/06/2026;58,49;59,25;58,07;59,13;22996285
22/06/2026;59,14;59,31;58,87;59,23;29470549
23/06/2026;59,44;59,68;59,16;59,26;22712861
24/06/2026;59,29;60,03;59,09;59,52;21567380
25/06/2026;59,63;59,79;58,54;58,57;25450824
26/06/2026;58,69;59,35;58,53;59,29;23422194
29/06/2026;59,45;59,53;58,47;58,75;26640514
30/06/2026;58,61;59,41;58,26;59,03;19302421
01/07/2026;59,21;59,28;58,39;58,46;19444786
02/07/2026;58,34;58,55;57,60;57,97;25612540
03/07/2026;57,81;57,81;57,75;57,79;22835889
06/07/2026;57,75;58,95;57,57;58,88;22569520
07/07/2026;58,78;59,38;58,39;59,31;24828655
08/07/2026;59,17;59,46;58,77;59,02;27198251
09/07/2026;58,82;59,19;58,70;58,91;17988339
10/07/2026;59,03;59,24;58,18;58,32;28818535
13/07/2026;58,30;58,42;57,92;58,35;22997160
14/07/2026;58,23;58,44;57,86;58,08;27220718
15/07/2026;57,96;58,64;57,94;58,52;23929528
16/07/2026;58,72;59,10;57,78;57,82;23043961
